x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,enterprise thread pool - avg user cpu,enterprise thread pool - avg system cpu
1,15.31111111111111,5.988888888888889,17.822222222222223,6.7
4,55.36666666666667,19.37777777777778,70.46666666666665,23.755555555555553
16,94.63333333333333,37.08888888888889,111.51111111111112,43.26666666666668
64,496.8666666666667,156.44444444444446,476.14055555555547,161.71055555555554
256,969.0777777777779,253.58888888888885,975.9972222222223,236.47666666666672
1024,873.2788888888887,290.6588888888889,993.1277777777777,231.8044444444444
4096,841.8827777777776,256.92666666666673,901.0527777777777,243.595
16384,758.9094444444445,249.60333333333332,816.68,245.49277777777777
32768,702.5564999999999,229.353,748.9350000000002,225.061
65536,707.9853846153844,224.9779487179487,0.0,0.0
