x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,enterprise thread pool - max virtual memory mb,enterprise thread pool - max resident memory mb
1,36980.464,10726.652,38297.864,11486.072
4,36996.856,15092.632,38297.864,15846.288
16,37390.264,19413.444,38297.864,20169.756
64,37816.456,22046.568,38297.864,22959.456
256,38242.648,22226.316,38428.936,23387.792
1024,38242.648,22297.364,38953.224,24628.6
4096,38275.432,22492.212,41050.376,28633.812
16384,38357.328,23173.548,48451.332,36332.208
32768,38422.864,24253.732,0.0,0.0
65536,38428.624,25686.648,0.0,0.0
